Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     32.82     0.00    14052     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00     32.82     0.00    14052     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00     32.82     0.00    14052     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00     32.82     0.00    14052     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int)
  0.00     32.82     0.00    14052     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00     32.82     0.00    14052     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00     32.82     0.00    14052     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00     32.82     0.00    14052     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00     32.82     0.00    14052     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00     32.82     0.00    14052     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00     32.82     0.00    14052     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00     32.82     0.00     1000     0.00     0.00  SatProblem::cpClVector()
  0.00     32.82     0.00     1000     0.00     0.00  SatProblem::getNumFixedClause()
  0.00     32.82     0.00     1000     0.00     0.00  SliceSampling::sampleU()
  0.00     32.82     0.00     1000     0.00     0.00  SliceSampling::sampleX()
  0.00     32.82     0.00     1000     0.00     0.00  SampleSAT::init_model()
  0.00     32.82     0.00     1000     0.00     0.00  SampleSAT::solve(SatProblem*, int*)
  0.00     32.82     0.00      580     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::~new_allocator()
  0.00     32.82     0.00      576     0.00     0.00  std::_List_const_iterator<int>::_List_const_iterator(std::_List_node_base const*)
  0.00     32.82     0.00      292     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator()
  0.00     32.82     0.00      292     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00     32.82     0.00      292     0.00     0.00  std::_List_base<int, std::allocator<int> >::_List_impl::~_List_impl()
  0.00     32.82     0.00      292     0.00     0.00  std::_List_base<int, std::allocator<int> >::~_List_base()
  0.00     32.82     0.00      292     0.00     0.00  std::list<int, std::allocator<int> >::~list()
  0.00     32.82     0.00      288     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator(__gnu_cxx::new_allocator<std::_List_node<int> > const&)
  0.00     32.82     0.00      288     0.00     0.00  std::_List_const_iterator<int>::operator!=(std::_List_const_iterator<int> const&) const
