Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     67.13     0.00     5832     0.00     0.00  std::_List_const_iterator<int>::_List_const_iterator(std::_List_node_base const*)
  0.00     67.13     0.00     3583     0.00     0.00  SatProblem::setAtom(int, int)
  0.00     67.13     0.00     3583     0.00     0.00  SatProblem::rewriteWL(int, int)
  0.00     67.13     0.00     3583     0.00     0.00  SatProblem::setClause(int, int)
  0.00     67.13     0.00     3583     0.00     0.00  SliceSampling::unitProc(int, int)
  0.00     67.13     0.00     3583     0.00     0.00  std::allocator<int>::allocator()
  0.00     67.13     0.00     3583     0.00     0.00  std::allocator<int>::~allocator()
  0.00     67.13     0.00     3583     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00     67.13     0.00     3583     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00     67.13     0.00     3583     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int)
  0.00     67.13     0.00     3583     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00     67.13     0.00     3583     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00     67.13     0.00     3583     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00     67.13     0.00     3583     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00     67.13     0.00     3583     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00     67.13     0.00     3583     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00     67.13     0.00     2920     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator()
  0.00     67.13     0.00     2920     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00     67.13     0.00     2920     0.00     0.00  std::_List_base<int, std::allocator<int> >::_List_impl::~_List_impl()
  0.00     67.13     0.00     2920     0.00     0.00  std::_List_base<int, std::allocator<int> >::~_List_base()
  0.00     67.13     0.00     2920     0.00     0.00  std::list<int, std::allocator<int> >::~list()
  0.00     67.13     0.00     2916     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator(__gnu_cxx::new_allocator<std::_List_node<int> > const&)
  0.00     67.13     0.00     2916     0.00     0.00  std::_List_const_iterator<int>::operator!=(std::_List_const_iterator<int> const&) const
  0.00     67.13     0.00     2916     0.00     0.00  std::list<int, std::allocator<int> >::end() const
  0.00     67.13     0.00     2916     0.00     0.00  std::list<int, std::allocator<int> >::begin() const
  0.00     67.13     0.00     2916     0.00     0.00  std::allocator<std::_List_node<int> >::allocator<int>(std::allocator<int> const&)
  0.00     67.13     0.00     2916     0.00     0.00  std::allocator<std::_List_node<int> >::allocator(std::allocator<std::_List_node<int> > const&)
  0.00     67.13     0.00     2916     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00     67.13     0.00     2916     0.00     0.00  std::_List_base<int, std::allocator<int> >::_List_impl::_List_impl(std::allocator<std::_List_node<int> > const&)
  0.00     67.13     0.00     2916     0.00     0.00  std::_List_base<int, std::allocator<int> >::_List_base(std::allocator<int> const&)
  0.00     67.13     0.00     2916     0.00     0.00  void std::list<int, std::allocator<int> >::_M_initialize_dispatch<std::_List_const_iterator<int> >(std::_List_const_iterator<int>, std::_List_const_iterator<int>, std::__false_type)
  0.00     67.13     0.00     2916     0.00     0.00  std::list<int, std::allocator<int> >::list(std::list<int, std::allocator<int> > const&)
  0.00     67.13     0.00     2916     0.00     0.00  void std::_Construct<std::list<int, std::allocator<int> >, std::list<int, std::allocator<int> > >(std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> > const&)
  0.00     67.13     0.00     2916     0.00     0.00  void std::_Destroy<std::list<int, std::allocator<int> > >(std::list<int, std::allocator<int> >*)
  0.00     67.13     0.00      100     0.00     0.00  SatProblem::initSatCheck(int*)
  0.00     67.13     0.00      100     0.00     0.00  SatProblem::getNumFixedAtom()
  0.00     67.13     0.00      100     0.00     0.00  SatProblem::getNumFixedClause()
  0.00     67.13     0.00      100     0.00     0.65  SliceSampling::sampleX()
  0.00     67.13     0.00      100     0.00     0.00  SampleSAT::init_model()
  0.00     67.13     0.00      100     0.00     0.65  SampleSAT::solve(SatProblem*, int*)
  0.00     67.13     0.00       24     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::size() const
  0.00     67.13     0.00       20     0.00     0.00  std::_Vector_base<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::_M_get_Tp_allocator()
  0.00     67.13     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<std::list<int, std::allocator<int> >*, std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > > >::base() const
