Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
  0.00   3492.82     0.00        1     0.00     0.00  SampleSAT::setWalkSatProb(double)
  0.00   3492.82     0.00        1     0.00     0.00  SampleSAT::setRandomWalkProb(double)
  0.00   3492.82     0.00        1     0.00     0.00  SampleSAT::calcAve(learnparams*)
  0.00   3492.82     0.00        1     0.00     0.00  SampleSAT::SampleSAT(SatProblem*, samplesatparams*, bool, learnparams*)
  0.00   3492.82     0.00        1     0.00     0.00  SampleSAT::~SampleSAT()

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.00% of 3492.82 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00 3492.79                 main [1]
                0.06 3492.67       1/1           SliceSampling::learn(int*, char*, int) [2]
                0.04    0.00       1/1           SatProblem::parseSliFile(char*) [26]
                0.02    0.00      74/76          SatProblem::getNumVariables() [38]
                0.00    0.00       1/1           SampleSAT::SampleSAT(SatProblem*, samplesatparams*, bool, learnparams*) [54]
                0.00    0.00       1/1           SliceSampling::SliceSampling(SampleSAT*, SatProblem*, learnparams*) [53]
                0.00    0.00       1/1           SatProblem::parseCnfFile(char*) [56]
                0.00    0.00       1/1           SatProblem::~SatProblem() [74]
                0.00    0.00       4/32374       Timer::time() [100]
                0.00    0.00       2/9           Timer::printTime(std::ostream&, double const&) [137]
                0.00    0.00       1/4           Timer::Timer() [146]
                0.00    0.00       1/1           SatProblem::SatProblem(unsigned long, bool) [178]
                0.00    0.00       1/1           SatProblem::parseProbFile(char*) [177]
                0.00    0.00       1/1           printssParameters(samplesatparams*) [172]
                0.00    0.00       1/1           printlParameters(learnparams*) [171]
                0.00    0.00       1/1           SliceSampling::printUnitTime() [179]
                0.00    0.00       1/1           SliceSampling::calcFixed(learnparams*) [181]
                0.00    0.00       1/1           SampleSAT::calcAve(learnparams*) [190]
                0.00    0.00       1/1           SliceSampling::~SliceSampling() [182]
                0.00    0.00       1/1           SampleSAT::~SampleSAT() [191]
                0.00    0.00       1/4           Timer::~Timer() [147]
-----------------------------------------------
                0.06 3492.67       1/1           main [1]
[2]    100.0    0.06 3492.67       1         SliceSampling::learn(int*, char*, int) [2]
                3.23 2583.14       1/1           SliceSampling::cdlearn(int) [3]
                0.23  906.04       1/1           SliceSampling::readdata(char*, int) [6]
                0.03    0.00       1/1           SliceSampling::lallocate(int) [29]
                0.00    0.00      72/215833752     SatProblem::getTheta(int) [14]
                0.00    0.00       2/32374       Timer::time() [100]
                0.00    0.00       1/9           Timer::printTime(std::ostream&, double const&) [137]
-----------------------------------------------
                3.23 2583.14       1/1           SliceSampling::learn(int*, char*, int) [2]
[3]     74.0    3.23 2583.14       1         SliceSampling::cdlearn(int) [3]
                0.71 2578.76      10/10          SliceSampling::calclik(int, double*, int*) [4]
                0.00    3.09    1000/1000        SliceSampling::sampleX() [8]
                0.57    0.00 215689680/215833752     SatProblem::getTheta(int) [14]
                0.01    0.00  993690/993690      double const& std::max<double>(double const&, double const&) [45]
                0.00    0.00    1000/1000        SliceSampling::sampleU() [55]
                0.00    0.00    1000/437614      SatProblem::getGrand() [91]
                0.00    0.00      40/32374       Timer::time() [100]
                0.00    0.00      10/10          SatProblem::updateTheta(double*) [136]
                0.00    0.00       2/9           Timer::printTime(std::ostream&, double const&) [137]
-----------------------------------------------
                0.71 2578.76      10/10          SliceSampling::cdlearn(int) [3]
[4]     73.9    0.71 2578.76      10         SliceSampling::calclik(int, double*, int*) [4]
             2578.76    0.00 1000000/1000000     SliceSampling::getIdx(int) [5]
-----------------------------------------------
             2578.76    0.00 1000000/1000000     SliceSampling::calclik(int, double*, int*) [4]
[5]     73.8 2578.76    0.00 1000000         SliceSampling::getIdx(int) [5]
-----------------------------------------------
                0.23  906.04       1/1           SliceSampling::learn(int*, char*, int) [2]
[6]     25.9    0.23  906.04       1         SliceSampling::readdata(char*, int) [6]
              906.04    0.00  200000/200000      SliceSampling::modelcheck(int) [7]
-----------------------------------------------
              906.04    0.00  200000/200000      SliceSampling::readdata(char*, int) [6]
[7]     25.9  906.04    0.00  200000         SliceSampling::modelcheck(int) [7]
-----------------------------------------------
                0.00    3.09    1000/1000        SliceSampling::cdlearn(int) [3]
[8]      0.1    0.00    3.09    1000         SliceSampling::sampleX() [8]
                0.00    3.00    1000/1000        SampleSAT::solve(SatProblem*, int*) [9]
                0.00    0.07    1000/1000        SatProblem::initParams() [24]
                0.01    0.00    1000/1000        SatProblem::getNumFixedAtom() [46]
