Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
  0.00   3492.82     0.00    14164     0.00     0.00  SliceSampling::unitProc(int, int)
  0.00   3492.82     0.00    14164     0.00     0.00  std::allocator<int>::allocator()
  0.00   3492.82     0.00    14164     0.00     0.00  std::allocator<int>::~allocator()
  0.00   3492.82     0.00    14164     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00   3492.82     0.00    14164     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00   3492.82     0.00    14164     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00   3492.82     0.00    14164     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int)
  0.00   3492.82     0.00    14164     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00   3492.82     0.00    14164     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00   3492.82     0.00    14164     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00   3492.82     0.00    14164     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00   3492.82     0.00    14164     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00   3492.82     0.00    14164     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00   3492.82     0.00    14164     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00   3492.82     0.00     1000     0.00     0.00  SatProblem::cpClVector()
  0.00   3492.82     0.00     1000     0.00     0.00  SatProblem::initParams()
  0.00   3492.82     0.00     1000     0.00     0.00  SatProblem::getNumFixedClause()
  0.00   3492.82     0.00     1000     0.00     0.00  SliceSampling::sampleU()
  0.00   3492.82     0.00     1000     0.00     0.00  SliceSampling::sampleX()
  0.00   3492.82     0.00     1000     0.00     0.00  SampleSAT::init_model()
  0.00   3492.82     0.00     1000     0.00     0.00  SampleSAT::solve(SatProblem*, int*)
  0.00   3492.82     0.00      580     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::~new_allocator()
  0.00   3492.82     0.00      576     0.00     0.00  std::_List_const_iterator<int>::_List_const_iterator(std::_List_node_base const*)
  0.00   3492.82     0.00      292     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator()
  0.00   3492.82     0.00      292     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00   3492.82     0.00      292     0.00     0.00  std::_List_base<int, std::allocator<int> >::_List_impl::~_List_impl()
  0.00   3492.82     0.00      292     0.00     0.00  std::_List_base<int, std::allocator<int> >::~_List_base()
  0.00   3492.82     0.00      292     0.00     0.00  std::list<int, std::allocator<int> >::~list()
  0.00   3492.82     0.00      288     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator(__gnu_cxx::new_allocator<std::_List_node<int> > const&)
  0.00   3492.82     0.00      288     0.00     0.00  std::_List_const_iterator<int>::operator!=(std::_List_const_iterator<int> const&) const
  0.00   3492.82     0.00      288     0.00     0.00  std::list<int, std::allocator<int> >::end() const
  0.00   3492.82     0.00      288     0.00     0.00  std::list<int, std::allocator<int> >::begin() const
  0.00   3492.82     0.00      288     0.00     0.00  std::allocator<std::_List_node<int> >::allocator<int>(std::allocator<int> const&)
  0.00   3492.82     0.00      288     0.00     0.00  std::allocator<std::_List_node<int> >::allocator(std::allocator<std::_List_node<int> > const&)
  0.00   3492.82     0.00      288     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00   3492.82     0.00      288     0.00     0.00  std::_List_base<int, std::allocator<int> >::_List_impl::_List_impl(std::allocator<std::_List_node<int> > const&)
  0.00   3492.82     0.00      288     0.00     0.00  std::_List_base<int, std::allocator<int> >::_List_base(std::allocator<int> const&)
  0.00   3492.82     0.00      288     0.00     0.00  void std::list<int, std::allocator<int> >::_M_initialize_dispatch<std::_List_const_iterator<int> >(std::_List_const_iterator<int>, std::_List_const_iterator<int>, std::__false_type)
  0.00   3492.82     0.00      288     0.00     0.00  std::list<int, std::allocator<int> >::list(std::list<int, std::allocator<int> > const&)
  0.00   3492.82     0.00      288     0.00     0.00  void std::_Construct<std::list<int, std::allocator<int> >, std::list<int, std::allocator<int> > >(std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> > const&)
  0.00   3492.82     0.00      288     0.00     0.00  void std::_Destroy<std::list<int, std::allocator<int> > >(std::list<int, std::allocator<int> >*)
  0.00   3492.82     0.00       24     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::size() const
  0.00   3492.82     0.00       20     0.00     0.00  std::_Vector_base<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::_M_get_Tp_allocator()
  0.00   3492.82     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<std::list<int, std::allocator<int> >*, std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > > >::base() const
  0.00   3492.82     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<std::list<int, std::allocator<int> > >::max_size() const
  0.00   3492.82     0.00       10     0.00     0.00  SatProblem::updateTheta(double*)
  0.00   3492.82     0.00        9     0.00     0.00  Timer::printTime(std::ostream&, double const&)
  0.00   3492.82     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<std::list<int, std::allocator<int> >*, std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > > >::__normal_iterator(std::list<int, std::allocator<int> >* const&)
  0.00   3492.82     0.00        8     0.00     0.00  std::_Vector_base<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::_M_get_Tp_allocator() const
  0.00   3492.82     0.00        8     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::max_size() const
  0.00   3492.82     0.00        8     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::list<int, std::allocator<int> >*>(std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*)
  0.00   3492.82     0.00        8     0.00     0.00  std::_Vector_base<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::_M_deallocate(std::list<int, std::allocator<int> >*, unsigned int)
  0.00   3492.82     0.00        8     0.00     0.00  std::list<int, std::allocator<int> >* std::__uninitialized_copy<false>::uninitialized_copy<std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*>(std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*)
  0.00   3492.82     0.00        8     0.00     0.00  std::list<int, std::allocator<int> >* std::uninitialized_copy<std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*>(std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*)
  0.00   3492.82     0.00        8     0.00     0.00  std::list<int, std::allocator<int> >* std::__uninitialized_copy_a<std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> > >(std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*, std::allocator<std::list<int, std::allocator<int> > >&)
  0.00   3492.82     0.00        8     0.00     0.00  std::list<int, std::allocator<int> >* std::__uninitialized_move_a<std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*, std::allocator<std::list<int, std::allocator<int> > > >(std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*, std::allocator<std::list<int, std::allocator<int> > >&)
  0.00   3492.82     0.00        8     0.00     0.00  void std::_Destroy<std::list<int, std::allocator<int> >*>(std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*)
  0.00   3492.82     0.00        8     0.00     0.00  void std::_Destroy<std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> > >(std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*, std::allocator<std::list<int, std::allocator<int> > >&)
  0.00   3492.82     0.00        4     0.00     0.00  Timer::Timer()
  0.00   3492.82     0.00        4     0.00     0.00  Timer::~Timer()
  0.00   3492.82     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::list<int, std::allocator<int> > >::deallocate(std::list<int, std::allocator<int> >*, unsigned int)
  0.00   3492.82     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::list<int, std::allocator<int> > >::allocate(unsigned int, void const*)
  0.00   3492.82     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::list<int, std::allocator<int> > >::new_allocator()
  0.00   3492.82     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::list<int, std::allocator<int> > >::~new_allocator()
  0.00   3492.82     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<std::list<int, std::allocator<int> >*, std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > > >::difference_type __gnu_cxx::operator-<std::list<int, std::allocator<int> >*, std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::list<int, std::allocator<int> >*, std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::list<int, std::allocator<int> >*, std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > > > const&)
  0.00   3492.82     0.00        4     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::_M_check_len(unsigned int, char const*) const
  0.00   3492.82     0.00        4     0.00     0.00  std::allocator<std::_List_node<int> >::allocator()
  0.00   3492.82     0.00        4     0.00     0.00  std::allocator<std::list<int, std::allocator<int> > >::allocator()
  0.00   3492.82     0.00        4     0.00     0.00  std::allocator<std::list<int, std::allocator<int> > >::~allocator()
  0.00   3492.82     0.00        4     0.00     0.00  std::_List_base<int, std::allocator<int> >::_List_impl::_List_impl()
  0.00   3492.82     0.00        4     0.00     0.00  std::_List_base<int, std::allocator<int> >::_List_base()
  0.00   3492.82     0.00        4     0.00     0.00  std::_Vector_base<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::_M_allocate(unsigned int)
  0.00   3492.82     0.00        4     0.00     0.00  std::_Vector_base<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::_Vector_impl::_Vector_impl()
  0.00   3492.82     0.00        4     0.00     0.00  std::_Vector_base<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::_Vector_impl::~_Vector_impl()
  0.00   3492.82     0.00        4     0.00     0.00  std::_Vector_base<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::_Vector_base()
  0.00   3492.82     0.00        4     0.00     0.00  std::_Vector_base<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::~_Vector_base()
  0.00   3492.82     0.00        4     0.00     0.00  void std::__uninitialized_fill_n<false>::uninitialized_fill_n<std::list<int, std::allocator<int> >*, unsigned int, std::list<int, std::allocator<int> > >(std::list<int, std::allocator<int> >*, unsigned int, std::list<int, std::allocator<int> > const&)
  0.00   3492.82     0.00        4     0.00     0.00  std::list<int, std::allocator<int> >::list()
  0.00   3492.82     0.00        4     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::_M_fill_insert(__gnu_cxx::__normal_iterator<std::list<int, std::allocator<int> >*, std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > > >, unsigned int, std::list<int, std::allocator<int> > const&)
  0.00   3492.82     0.00        4     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::end()
  0.00   3492.82     0.00        4     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::begin()
  0.00   3492.82     0.00        4     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::insert(__gnu_cxx::__normal_iterator<std::list<int, std::allocator<int> >*, std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > > >, unsigned int, std::list<int, std::allocator<int> > const&)
  0.00   3492.82     0.00        4     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::resize(unsigned int, std::list<int, std::allocator<int> >)
  0.00   3492.82     0.00        4     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::vector()
  0.00   3492.82     0.00        4     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::~vector()
  0.00   3492.82     0.00        4     0.00     0.00  void std::uninitialized_fill_n<std::list<int, std::allocator<int> >*, unsigned int, std::list<int, std::allocator<int> > >(std::list<int, std::allocator<int> >*, unsigned int, std::list<int, std::allocator<int> > const&)
  0.00   3492.82     0.00        4     0.00     0.00  void std::__uninitialized_fill_n_a<std::list<int, std::allocator<int> >*, unsigned int, std::list<int, std::allocator<int> >, std::list<int, std::allocator<int> > >(std::list<int, std::allocator<int> >*, unsigned int, std::list<int, std::allocator<int> > const&, std::allocator<std::list<int, std::allocator<int> > >&)
  0.00   3492.82     0.00        4     0.00     0.00  unsigned int const& std::max<unsigned int>(unsigned int const&, unsigned int const&)
  0.00   3492.82     0.00        2     0.00     0.00  std::_List_iterator<int>::_List_iterator()
  0.00   3492.82     0.00        1     0.00     0.00  global constructors keyed to SatProblem::SatProblem(unsigned long, bool)
  0.00   3492.82     0.00        1     0.00     0.00  global constructors keyed to SliceSampling::SliceSampling(SampleSAT*, SatProblem*, learnparams*)
  0.00   3492.82     0.00        1     0.00     0.00  global constructors keyed to SampleSAT::SampleSAT(SatProblem*, samplesatparams*, bool, learnparams*)
  0.00   3492.82     0.00        1     0.00     0.00  global constructors keyed to cnffilename
  0.00   3492.82     0.00        1     0.00     0.00  printlParameters(learnparams*)
  0.00   3492.82     0.00        1     0.00     0.00  printssParameters(samplesatparams*)
  0.00   3492.82     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00   3492.82     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00   3492.82     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00   3492.82     0.00        1     0.00     0.00  SatProblem::parseCnfFile(char*)
  0.00   3492.82     0.00        1     0.00     0.00  SatProblem::getNumClauses()
  0.00   3492.82     0.00        1     0.00     0.00  SatProblem::parseProbFile(char*)
  0.00   3492.82     0.00        1     0.00     0.00  SatProblem::allocate()
  0.00   3492.82     0.00        1     0.00     0.00  SatProblem::SatProblem(unsigned long, bool)
  0.00   3492.82     0.00        1     0.00     0.00  SatProblem::~SatProblem()
  0.00   3492.82     0.00        1     0.00     0.00  SliceSampling::printUnitTime()
  0.00   3492.82     0.00        1     0.00     0.00  SliceSampling::init()
  0.00   3492.82     0.00        1     0.00     0.00  SliceSampling::calcFixed(learnparams*)
  0.00   3492.82     0.00        1     0.00     0.00  SliceSampling::SliceSampling(SampleSAT*, SatProblem*, learnparams*)
  0.00   3492.82     0.00        1     0.00     0.00  SliceSampling::~SliceSampling()
  0.00   3492.82     0.00        1     0.00     0.00  Random::sgenrand(unsigned long)
  0.00   3492.82     0.00        1     0.00     0.00  Random::Random()
  0.00   3492.82     0.00        1     0.00     0.00  SampleSAT::setWalkMax(int)
  0.00   3492.82     0.00        1     0.00     0.00  SampleSAT::setNumSample(int)
  0.00   3492.82     0.00        1     0.00     0.00  SampleSAT::setTemperature(double)
