Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      100     0.00     0.00  SatProblem::initSatCheck(int*)
  0.00      0.00     0.00      100     0.00     0.00  SatProblem::getNumFixedAtom()
  0.00      0.00     0.00      100     0.00     0.00  SatProblem::getNumFixedClause()
  0.00      0.00     0.00      100     0.00     0.00  SliceSampling::sampleU()
  0.00      0.00     0.00      100     0.00     0.00  SliceSampling::sampleX()
  0.00      0.00     0.00      100     0.00     0.00  SampleSAT::init_model()
  0.00      0.00     0.00      100     0.00     0.00  SampleSAT::solve(SatProblem*, int*)
  0.00      0.00     0.00       82     0.00     0.00  SampleSAT::greedyWalk()
  0.00      0.00     0.00       80     0.00     0.00  SatProblem::getNsc1(int*, int)
  0.00      0.00     0.00       80     0.00     0.00  SampleSAT::randomWalk()
  0.00      0.00     0.00       52     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::~new_allocator()
  0.00      0.00     0.00       48     0.00     0.00  std::_List_const_iterator<int>::_List_const_iterator(std::_List_node_base const*)
  0.00      0.00     0.00       28     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator()
  0.00      0.00     0.00       28     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00      0.00     0.00       28     0.00     0.00  std::_List_base<int, std::allocator<int> >::_List_impl::~_List_impl()
  0.00      0.00     0.00       28     0.00     0.00  std::_List_base<int, std::allocator<int> >::~_List_base()
  0.00      0.00     0.00       28     0.00     0.00  std::list<int, std::allocator<int> >::~list()
  0.00      0.00     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator(__gnu_cxx::new_allocator<std::_List_node<int> > const&)
  0.00      0.00     0.00       24     0.00     0.00  std::_List_const_iterator<int>::operator!=(std::_List_const_iterator<int> const&) const
  0.00      0.00     0.00       24     0.00     0.00  std::list<int, std::allocator<int> >::end() const
  0.00      0.00     0.00       24     0.00     0.00  std::list<int, std::allocator<int> >::begin() const
  0.00      0.00     0.00       24     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::size() const
  0.00      0.00     0.00       24     0.00     0.00  std::allocator<std::_List_node<int> >::allocator<int>(std::allocator<int> const&)
  0.00      0.00     0.00       24     0.00     0.00  std::allocator<std::_List_node<int> >::allocator(std::allocator<std::_List_node<int> > const&)
  0.00      0.00     0.00       24     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00      0.00     0.00       24     0.00     0.00  std::_List_base<int, std::allocator<int> >::_List_impl::_List_impl(std::allocator<std::_List_node<int> > const&)
  0.00      0.00     0.00       24     0.00     0.00  std::_List_base<int, std::allocator<int> >::_List_base(std::allocator<int> const&)
  0.00      0.00     0.00       24     0.00     0.00  void std::list<int, std::allocator<int> >::_M_initialize_dispatch<std::_List_const_iterator<int> >(std::_List_const_iterator<int>, std::_List_const_iterator<int>, std::__false_type)
  0.00      0.00     0.00       24     0.00     0.00  std::list<int, std::allocator<int> >::list(std::list<int, std::allocator<int> > const&)
  0.00      0.00     0.00       24     0.00     0.00  void std::_Construct<std::list<int, std::allocator<int> >, std::list<int, std::allocator<int> > >(std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> > const&)
  0.00      0.00     0.00       24     0.00     0.00  void std::_Destroy<std::list<int, std::allocator<int> > >(std::list<int, std::allocator<int> >*)
  0.00      0.00     0.00       20     0.00     0.00  std::_Vector_base<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::_M_get_Tp_allocator()
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<std::list<int, std::allocator<int> >*, std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > > >::base() const
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<std::list<int, std::allocator<int> > >::max_size() const
  0.00      0.00     0.00       10     0.00     0.00  SatProblem::updateTheta(double*)
  0.00      0.00     0.00       10     0.00     0.00  SatProblem::getNumVariables()
  0.00      0.00     0.00       10     0.00     0.00  SliceSampling::calclik2(int, double*)
  0.00      0.00     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<std::list<int, std::allocator<int> >*, std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > > >::__normal_iterator(std::list<int, std::allocator<int> >* const&)
  0.00      0.00     0.00        8     0.00     0.00  std::_Vector_base<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        8     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::max_size() const
  0.00      0.00     0.00        8     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::list<int, std::allocator<int> >*>(std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*)
