Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    633.86     0.00      274     0.00     0.00  SatProblem::getTheta(int)
  0.00    633.86     0.00      274     0.00     0.00  std::list<int, std::allocator<int> >::empty() const
  0.00    633.86     0.00      141     0.00     0.00  SatProblem::getNumVariables()
  0.00    633.86     0.00       74     0.00     0.00  Timer::time()
  0.00    633.86     0.00       33     0.00     0.00  SatProblem::setAtom(int, int)
  0.00    633.86     0.00       33     0.00     0.00  SatProblem::rewriteWL(int, int)
  0.00    633.86     0.00       33     0.00     0.00  SatProblem::setClause(int, int)
  0.00    633.86     0.00       33     0.00     0.00  SliceSampling::unitProc(int, int)
  0.00    633.86     0.00       33     0.00     0.00  std::allocator<int>::allocator()
  0.00    633.86     0.00       33     0.00     0.00  std::allocator<int>::~allocator()
  0.00    633.86     0.00       33     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00    633.86     0.00       33     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00    633.86     0.00       33     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00    633.86     0.00       33     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int)
  0.00    633.86     0.00       33     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00    633.86     0.00       33     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00    633.86     0.00       33     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00    633.86     0.00       33     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00    633.86     0.00       33     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00    633.86     0.00       33     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00    633.86     0.00       33     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00    633.86     0.00       24     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::size() const
  0.00    633.86     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<std::list<int, std::allocator<int> >*, std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > > >::base() const
  0.00    633.86     0.00       16     0.00     0.00  std::_Vector_base<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::_M_get_Tp_allocator()
  0.00    633.86     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<std::list<int, std::allocator<int> > >::max_size() const
  0.00    633.86     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<std::list<int, std::allocator<int> >*, std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > > >::__normal_iterator(std::list<int, std::allocator<int> >* const&)
  0.00    633.86     0.00        8     0.00     0.00  std::_Vector_base<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::_M_get_Tp_allocator() const
  0.00    633.86     0.00        8     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::max_size() const
  0.00    633.86     0.00        8     0.00     0.00  std::list<int, std::allocator<int> >* std::__uninitialized_copy<false>::uninitialized_copy<std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*>(std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*)
  0.00    633.86     0.00        8     0.00     0.00  std::list<int, std::allocator<int> >* std::uninitialized_copy<std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*>(std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> >*)
