Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.34     0.00    28116     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      1.34     0.00    21790     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      1.34     0.00    19251     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int)
  0.00      1.34     0.00    16666     0.00     0.00  std::allocator<int>::allocator()
  0.00      1.34     0.00    16666     0.00     0.00  std::allocator<int>::~allocator()
  0.00      1.34     0.00    16666     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      1.34     0.00    16666     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      1.34     0.00    16666     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      1.34     0.00    16666     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      1.34     0.00    16666     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      1.34     0.00    16666     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      1.34     0.00    16665     0.00     0.00  SatProblem::setAtom(int, int)
  0.00      1.34     0.00    16665     0.00     0.00  SatProblem::rewriteWL(int, int)
  0.00      1.34     0.00    16665     0.00     0.00  SatProblem::setClause(int, int)
  0.00      1.34     0.00    16665     0.00     0.00  SliceSampling::unitProc(int, int)
  0.00      1.34     0.00    15510     0.00     0.00  std::__niter_base<int*, false>::__b(int*)
  0.00      1.34     0.00    10340     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      1.34     0.00    10340     0.00     0.00  std::__miter_base<int*, false>::__b(int*)
  0.00      1.34     0.00     8865     0.00     0.00  std::vector<int, std::allocator<int> >::_M_erase_at_end(int*)
  0.00      1.34     0.00     8865     0.00     0.00  std::vector<int, std::allocator<int> >::clear()
  0.00      1.34     0.00     7755     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      1.34     0.00     5170     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      1.34     0.00     5170     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      1.34     0.00     5170     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      1.34     0.00     5170     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      1.34     0.00     5170     0.00     0.00  int* std::__uninitialized_copy<true>::uninitialized_copy<int*, int*>(int*, int*, int*)
  0.00      1.34     0.00     5170     0.00     0.00  int* std::__copy_move_a<false, int*, int*>(int*, int*, int*)
  0.00      1.34     0.00     5170     0.00     0.00  int* std::__copy_move_a2<false, int*, int*>(int*, int*, int*)
  0.00      1.34     0.00     5170     0.00     0.00  int* std::uninitialized_copy<int*, int*>(int*, int*, int*)
  0.00      1.34     0.00     5170     0.00     0.00  int* std::__uninitialized_copy_a<int*, int*, int>(int*, int*, int*, std::allocator<int>&)
  0.00      1.34     0.00     5170     0.00     0.00  int* std::__uninitialized_move_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      1.34     0.00     5170     0.00     0.00  int* std::copy<int*, int*>(int*, int*, int*)
  0.00      1.34     0.00     2589     0.00     0.00  unsigned int const& std::max<unsigned int>(unsigned int const&, unsigned int const&)
  0.00      1.34     0.00     2585     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned int)
  0.00      1.34     0.00     2585     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned int, void const*)
  0.00      1.34     0.00     2585     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      1.34     0.00     2585     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned int, char const*) const
  0.00      1.34     0.00     2585     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned int)
  0.00      1.34     0.00     2585     0.00     0.00  std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      1.34     0.00     2585     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      1.34     0.00     2585     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      1.34     0.00     2585     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      1.34     0.00     2585     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned int)
  0.00      1.34     0.00     2513     0.00     0.00  SatProblem::setWatchIdx(int, int, int)
  0.00      1.34     0.00     2513     0.00     0.00  int const& std::max<int>(int const&, int const&)
  0.00      1.34     0.00      100     0.00     0.00  SatProblem::updateTheta(double*)
  0.00      1.34     0.00       48     0.00     0.00  std::_List_const_iterator<int>::_List_const_iterator(std::_List_node_base const*)
  0.00      1.34     0.00       28     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator()
  0.00      1.34     0.00       28     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00      1.34     0.00       28     0.00     0.00  std::_List_base<int, std::allocator<int> >::_List_impl::~_List_impl()
  0.00      1.34     0.00       28     0.00     0.00  std::_List_base<int, std::allocator<int> >::~_List_base()
  0.00      1.34     0.00       28     0.00     0.00  std::list<int, std::allocator<int> >::~list()
  0.00      1.34     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator(__gnu_cxx::new_allocator<std::_List_node<int> > const&)
  0.00      1.34     0.00       24     0.00     0.00  std::_List_const_iterator<int>::operator!=(std::_List_const_iterator<int> const&) const
  0.00      1.34     0.00       24     0.00     0.00  std::list<int, std::allocator<int> >::end() const
  0.00      1.34     0.00       24     0.00     0.00  std::list<int, std::allocator<int> >::begin() const
  0.00      1.34     0.00       24     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::size() const
  0.00      1.34     0.00       24     0.00     0.00  std::allocator<std::_List_node<int> >::allocator<int>(std::allocator<int> const&)
  0.00      1.34     0.00       24     0.00     0.00  std::allocator<std::_List_node<int> >::allocator(std::allocator<std::_List_node<int> > const&)
  0.00      1.34     0.00       24     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00      1.34     0.00       24     0.00     0.00  std::_List_base<int, std::allocator<int> >::_List_impl::_List_impl(std::allocator<std::_List_node<int> > const&)
  0.00      1.34     0.00       24     0.00     0.00  std::_List_base<int, std::allocator<int> >::_List_base(std::allocator<int> const&)
  0.00      1.34     0.00       24     0.00     0.00  void std::list<int, std::allocator<int> >::_M_initialize_dispatch<std::_List_const_iterator<int> >(std::_List_const_iterator<int>, std::_List_const_iterator<int>, std::__false_type)
  0.00      1.34     0.00       24     0.00     0.00  std::list<int, std::allocator<int> >::list(std::list<int, std::allocator<int> > const&)
  0.00      1.34     0.00       24     0.00     0.00  void std::_Construct<std::list<int, std::allocator<int> >, std::list<int, std::allocator<int> > >(std::list<int, std::allocator<int> >*, std::list<int, std::allocator<int> > const&)
  0.00      1.34     0.00       24     0.00     0.00  void std::_Destroy<std::list<int, std::allocator<int> > >(std::list<int, std::allocator<int> >*)
  0.00      1.34     0.00       20     0.00     0.00  std::_Vector_base<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::_M_get_Tp_allocator()
  0.00      1.34     0.00       16     0.00     0.00  __gnu_cxx::__normal_iterator<std::list<int, std::allocator<int> >*, std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > > >::base() const
  0.00      1.34     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<std::list<int, std::allocator<int> > >::max_size() const
  0.00      1.34     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<std::list<int, std::allocator<int> >*, std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > > >::__normal_iterator(std::list<int, std::allocator<int> >* const&)
  0.00      1.34     0.00        8     0.00     0.00  std::_Vector_base<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::_M_get_Tp_allocator() const
  0.00      1.34     0.00        8     0.00     0.00  std::vector<std::list<int, std::allocator<int> >, std::allocator<std::list<int, std::allocator<int> > > >::max_size() const
